Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2010,PROMOTIONAL DESIGNS CONCEPTS INC,0,1,0,0,54,,CA,SOUTH EL MONTE,91733.0
2010,SAN JOAQUIN DELTA COLLEGE DISTRIC,1,0,0,0,61,,CA,STOCKTON,95207.0
2010,PPI INDUSTRIAL CORP,0,1,0,0,99,,CA,SUN VALLEY,91352.0
2010,SILICON STORAGE TECH INC A WHOLLY,1,0,0,0,33,,CA,SUNNYVALE,94086.0
2010,MICRODIGITAL USA INC,0,1,0,0,54,,CA,SUNNYVALE,94086.0
2010,EXPREVENUE INC,0,0,1,0,51,,CA,SUNNYVALE,94087.0
2010,MGA ENTERTAINMENT INC,0,0,1,0,54,,CA,VAN NUYS,91406.0
2010,MORROW MEADOWS CORP,0,0,1,0,99,,CA,WALNUT,91789.0
2010,WINTERS JOINT UNIFIED SCHOOL DISTR,1,0,0,0,61,,CA,WINTERS,95694.0
2010,HARKEN S MARKET,0,0,1,0,54,,CT,EAST WINDSOR,6088.0
2010,,0,0,0,1,81,,CT,GREENWICH,6830.0
2010,MAFCOTE INC,1,0,0,0,99,,CT,NORWALK,6851.0
2010,NEWS AMERICA MKTG - IN STORE LLC,0,0,1,0,51,,CT,WILTON,6897.0
2010,HEALTH MGMT INC D/B/A RADIANS COLL,0,0,1,0,61,,DC,WASHINGTON,20036.0
2010,TELEPLAN VIDEOCOM SOLUTIONS INC,1,0,0,0,33,,DE,NEW CASTLE,19720.0
2010,KITCHEN ART INC,0,0,0,1,53,,FL,FT LAUDERDALE,33301.0
2010,ALIMAR MARINE SERVICES CORP,0,1,0,0,99,,FL,HOMESTEAD,33034.0
2010,MANPOWER GROUP INTL INC,0,1,0,0,54,,FL,JACKSONVILLE,32256.0
2010,CONVERGYS INFORMATION MGT GRP,0,0,0,1,99,,FL,LAKE MARY,32746.0
2010,NOSHIN ENTERPRISES INC,1,0,0,0,44,,FL,LAKE WALES,33853.0
2010,CLEAR CHOICE HEALTH CARE LLC,1,0,0,0,62,,FL,MELBOURNE,32901.0
2010,AMERICAN HOTEL GROUPLLC,0,0,1,0,72,,FL,MERRITT ISLAND,32952.0
2010,MARIAN POLAN TALENT AGENCY,0,0,0,1,99,,FL,MIAMI,33128.0
2010,DR RUBEN A QUINTERO,0,1,0,0,81,,FL,MIAMI,33146.0
2010,TOTAL PORCELAIN SERVICE,1,0,0,0,33,,FL,MIAMI,33186.0
2010,NUEVA ESPARTA INTL EDUCATION INC,0,0,1,0,61,,FL,MIAMI,33186.0
2010,INSTITUTE IPRE PROF RES & EDUC,1,0,0,0,54,,FL,MIAMI BEACH,33141.0
2010,J D ALLEN & ASSOCIATES INC,0,0,1,0,54,,FL,NAPLES,34104.0
2010,WOODLANDS INDIAN CUISINE/UDIPI,0,0,0,1,72,,FL,ORLANDO,32809.0
2010,HINDU UNIV OF AMERICA INC,0,0,1,0,99,,FL,ORLANDO,32825.0
2010,OCEAN DEVELOPMENT I LLC D/B/A,1,0,0,0,71,,FL,RIVIERA BEACH,33404.0
2010,GRO STYLES,0,1,0,0,44,,FL,TAMPA,33607.0
2010,HUNTER LAW GROUP,0,0,1,0,54,,FL,TAMPA,33609.0
2010,ICONNECT TELECOMMUNICATIONS,0,0,1,0,51,,FL,WESLEY CHAPEL,33543.0
2010,A GOFF LIMO.COM LLC,0,0,1,0,48,,FL,WEST PALM BEACH,33406.0
2010,FEDEX SMARTPOST INC,0,0,1,0,99,,GA,ATLANTA,30303.0
2010,NATIONAL COMPUTER SERVICES INC,0,1,0,0,99,,GA,ATLANTA,30341.0
2010,TRINITY HOSPITAL OF AUGUSTA,0,1,2,0,62,,GA,AUGUSTA,30904.0
2010,EVOL NUTRITION ASSOCIATION INC,0,0,1,0,51,,GA,DALLAS,30132.0
2010,PYRAMIDS CONSTRUCTION CONTRACTORS,0,0,0,1,23,,GA,SAVANNAH,31405.0
2010,FUKUNAGA & ASSO INC,0,0,1,0,54,,HI,HONOLULU,96814.0
2010,WINEGARD CO,0,0,1,0,54,,IA,BURLINGTON,52601.0
2010,SMART PUBLIC SAFETY SOFTWARE INC,0,0,1,0,54,,IA,WATERLOO,50701.0
2010,MSA ALLIANCE LLC,0,0,1,0,99,,IL,BELLEVILLE,62226.0
2010,BURRELL COMMUNICATIONS GRP LLC,0,0,1,0,54,,IL,CHICAGO,60601.0
2010,JEWISH COUNCIL FOR YOUTH SERVICES,0,0,1,0,62,,IL,CHICAGO,60602.0
2010,JOHN H STROGER HOSP OF COOK A UNI,1,0,1,0,62,,IL,CHICAGO,60612.0
2010,WICKER PARK CHIROPRACTIC HEALTH,0,0,1,0,99,,IL,CHICAGO,60647.0
2010,KAMA RESTAURANTS LLC,0,1,0,0,72,,IL,EVANSTON,60201.0
2010,,0,1,0,0,81,,IL,EVANSTON,60203.0
2010,NORWOOD PARK CHRISTIAN ACADEMY DBA,0,0,1,0,99,,IL,NILES,60714.0
2010,FUJIKURA GRAPHICS INC,0,0,0,1,99,,IL,SCHAUMBURG,60173.0
2010,RICHARD WOLF MED INSTRUMENTS CORP,0,1,0,0,33,,IL,VERNON HILLS,60061.0
2010,BISHOP STEERING TECH INC,1,0,0,0,99,,IN,INDIANAPOLIS,46250.0
2010,CALUMET JEWELERS DBA ALBERTS JEWEL,1,0,0,0,44,,IN,SCHERERVILLE,46375.0
2010,NHK OF AMERICA SUSPENSION COMPONEN,0,0,1,0,99,,KY,BOWLING GREEN,42101.0
2010,ACNIELSEN BASES,0,0,1,0,54,,KY,COVINGTON,41011.0
2010,MORTENSON FAMILY DENTAL CTR SVCS,0,0,1,0,62,,KY,MIDDLETOWN,40241.0
2010,MURRAY INDEPENDENT SCHOOLS,1,0,0,0,61,,KY,MURRAY,42071.0
2010,OPTIMA SPECIALTY HOSPITAL LLC,1,0,0,0,62,,LA,LAFAYETTE,70506.0
2010,ONE COMMUNICASTIONS MGT CO INC,0,0,1,0,51,,MA,BURLINGTON,1803.0
2010,CLARK WAMBERG LLC,0,0,1,0,54,,MA,SOUTHBOROUGH,1772.0
2010,CHECKERBOARD LTD,0,0,1,0,32,,MA,WEST BOYLSTON,1583.0
2010,MARYLAND TRANSPORTATION AUTHORITY,0,0,1,0,92,,MD,BALTIMORE,21222.0
2010,HOWARD HUGHES MEDICAL INSTITUE,0,0,1,0,54,,MD,CHEVY CHASE,20815.0
2010,KOREAN METHODIST CHURCH OF LOVE,1,0,0,0,81,,MD,SEVERN,21144.0
2010,DERRICK MICHAEL MARTIN,1,0,0,0,62,,MD,TEMPLE HILLS,20748.0
2010,NEXTENERGY CENTER,1,0,0,0,99,,MI,DETROIT,48202.0
2010,BOYDELL DEVELOPMENT COMPANY INC,0,1,0,0,53,,MI,DETROIT,48226.0
2010,CANNON ELECTRIC CO,0,0,1,0,54,,MI,MACOMB,48042.0
2010,LAKELAND HOSPITALS AT NILES & ST,0,0,1,0,62,,MI,SAINT JOSEPH,49085.0
2010,GREAT AMERICAN HOME CARE INC,0,1,0,0,62,,MI,TAYLOR,48180.0
