Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2019,AGISTIX INC,0,0,1,0,54,,CA,SAN MATEO,94402.0
2019,INTELLITIME SYSTEMS CORP,0,1,0,0,51,,CA,SANTA ANA,92701.0
2019,PYXEDA INC,1,0,0,0,54,,CA,SANTA CLARA,95054.0
2019,NEXTOGEN INC,0,1,0,0,54,,CA,SUNNYVALE,94086.0
2019,TEMPO COMMUNICATIONS INC,0,0,2,0,33,,CA,VISTA,92081.0
2019,BPO SYSTEMS INC,0,0,1,0,54,,CA,WALNUT CREEK,94598.0
2019,EVALUATOR GROUP INC,1,0,0,0,54,,CO,BOULDER,80301.0
2019,WHOLE HEMP CO D/B/A FOLIUM BIOSCIE,0,0,1,0,32,,CO,COLORADO SPRINGS,80915.0
2019,TTEC SERVICES CORPORATION,0,0,1,0,54,,CO,ENGLEWOOD,80112.0
2019,CABLE MANAGEMENT LLC,1,0,0,0,33,,CT,MERIDEN,6450.0
2019,THE ELECTRIC HEATER CO D/B/A HUBBE,0,1,0,0,33,,CT,STRATFORD,6615.0
2019,CRITICAL MIX,0,0,1,0,54,,CT,WESTPORT,6880.0
2019,DISTRICT OF COLUMBIA PUBLIC SCHOOL,2,0,1,0,61,,DC,WASHINGTON,20002.0
2019,UNIV OF THE DISTRICT OF COLUMBIA,0,0,1,0,61,,DC,WASHINGTON,20008.0
2019,FLORIDA ATLANTIC UNIV,0,0,1,0,61,,FL,BOCA RATON,33431.0
2019,VEETHREE ELECTRONICS & MARINE LLC,0,0,1,0,33,,FL,BRADENTON,34203.0
2019,JC MACHINE WORKS CORP,0,0,1,0,23,,FL,DORAL,33178.0
2019,JUDGE SOFTWARE PROF INC,0,0,1,0,54,,FL,JACKSONVILLE,32258.0
2019,D AQUILA ADVISORS LLC,1,0,0,0,54,,FL,JACKSONVILLE BEACH,32250.0
2019,V3 USA INC,0,0,1,0,54,,FL,MAITLAND,32751.0
2019,GOUSSE UROLOGY LLC,0,1,0,0,62,,FL,MIAMI,33131.0
2019,GONZALEZ ARCHITECTS,0,0,1,0,54,,FL,MIAMI,33134.0
2019,ENTOPSIS LLC,0,0,1,0,54,,FL,MIAMI,33166.0
2019,RADISE INTL L C,1,0,0,0,54,,FL,RIVIERA BEACH,33404.0
2019,RUVOS LLC,1,0,0,0,54,,FL,TALLAHASSEE,32312.0
2019,DEFENSESTORM INC,1,0,0,0,51,,GA,ALPHARETTA,30005.0
2019,JD CONSULTING INC,0,0,0,1,54,,GA,ATLANTA,30326.0
2019,JDC CONSULTING SOLUTIONS LLC,0,0,1,0,54,,GA,ATLANTA,30328.0
2019,BRANDSCAPES WORLDWIDE CONSULTANCY,1,0,0,0,54,,GA,ATLANTA,30346.0
2019,CRYOOCYTE INC,1,0,0,0,54,,GA,ATLANTA,30361.0
2019,XION TECHNOLOGIES INC,0,0,1,0,54,,GA,DULUTH,30097.0
2019,COVENANT COLLEGE,0,0,1,0,61,,GA,LOOKOUT MOUNTAIN,30750.0
2019,MICROMERITICS INSTRUMENT CORPORATI,0,0,1,0,33,,GA,NORCROSS,30093.0
2019,SNF HOLDING COMPANY,1,0,0,0,32,,GA,RICEBORO,31323.0
2019,ARCUS TECHNOLOGIES DBA KAT TECH S,1,0,0,0,54,,IL,ARLINGTON HEIGHTS,60005.0
2019,AVEXIS INC,0,0,1,0,54,,IL,BANNOCKBURN,60015.0
2019,COMMUNITY CONSOLIDATED SCH DIST NO,1,0,0,0,61,,IL,BLOOMINGDALE,60108.0
2019,FOODA INC,1,0,0,0,49,,IL,CHICAGO,60606.0
2019,OPEN DATA GROUP INC,1,0,0,0,54,,IL,CHICAGO,60606.0
2019,FOODA INC,1,0,0,0,72,,IL,CHICAGO,60606.0
2019,CHICAGO ORNAMENTAL IRON INC,1,0,0,0,33,,IL,CHICAGO,60609.0
2019,JOHN H STROGER JR HOSPITAL OF COOK,0,0,4,0,62,,IL,CHICAGO,60612.0
2019,CHICAGO CITY SOCCER CLUB,0,0,1,0,61,,IL,CHICAGO,60613.0
2019,CRYSTAL LAKE SCHOOL DISTRICT 47,2,0,0,0,61,,IL,CRYSTAL LAKE,60014.0
2019,LAUNCHPOINT VENTURES LLC D B A LAU,0,0,1,0,51,,IL,ITASCA,60143.0
2019,ASOFT CONSULTING LLC,0,0,1,0,54,,IL,NAPERVILLE,60563.0
2019,GRAYCOR CONSTRUCTION COMPANY INC,0,0,1,0,23,,IL,OAKBROOK TERRACE,60181.0
2019,PS3 TOOL MOLD & ASSEMBLY LLC DBA F,1,0,0,0,33,,IL,SAINT CHARLES,60174.0
2019,CYBERBRIDGE INTERNATIONAL INC,1,0,0,0,99,,IL,SCHAUMBURG,60173.0
2019,ARGON MEDICAL DEVICES INC DBA MANA,1,0,0,0,33,,IL,WHEELING,60090.0
2019,AURORA SPECIALTY TEXTILES GROUP IN,1,0,0,0,33,,IL,YORKVILLE,60560.0
2019,COMMUNITY CARE NETWORK INC & ITS A,1,0,0,0,62,,IN,EAST CHICAGO,46312.0
2019,INDIANA INTERNAL MED CONSULTANTS,0,0,1,0,62,,IN,GREENWOOD,46143.0
2019,KOSCIUSKO MEDICAL GROUP LLC,0,0,1,0,62,,IN,WARSAW,46580.0
2019,BEREA COLLEGE,0,0,1,0,61,,KY,BEREA,40404.0
2019,MOREHEAD STATE UNIVERSITY,0,0,1,0,61,,KY,MOREHEAD,40351.0
2019,PRIME OCCUPATIONAL SERVICES LLC,0,0,1,0,62,,LA,BATON ROUGE,70817.0
2019,EAST CARROLL PARISH SCH BOARD,1,0,0,0,61,,LA,LAKE PROVIDENCE,71254.0
2019,MASSACHUSETTS TRIAL COURTS,0,0,1,0,54,,MA,BOSTON,2108.0
2019,PUTNAM US HOLDINGS I LLC,1,0,0,0,52,,MA,BOSTON,2109.0
2019,QUANTITATIVE ECONOMIC SOLNS LLC,0,0,1,0,54,,MA,BOSTON,2110.0
2019,SYMPHONY EYC SOLUTIONS US LLC,1,0,0,0,54,,MA,BRAINTREE,2184.0
2019,HSA CORP DBA THE ACADEMY AT HARVAR,1,0,0,0,61,,MA,CAMBRIDGE,2138.0
2019,FORRESTER RESEARCH INC,4,0,5,1,99,,MA,CAMBRIDGE,2140.0
2019,MERRIMACK VALLEY DENTAL CARE PC,1,0,0,0,62,,MA,DRACUT,1826.0
2019,STRATUS TECHNOLOGIES INC,0,0,1,0,54,,MA,MAYNARD,1754.0
2019,H C STARCK INC,0,1,0,0,33,,MA,NEWTON HIGHLANDS,2461.0
2019,ECA SOLAR LLC,2,0,0,0,22,,MA,WALTHAM,2453.0
2019,LOTUS TECHNICAL STAFFING SOLNS INC,1,0,0,0,54,,MA,WILLIAMSTOWN,1267.0
2019,BEACON ST SERVICES LLC,0,0,3,0,51,,MD,BALTIMORE,21201.0
2019,CREOAL CONSULTING,1,0,0,0,54,,MD,BETHESDA,20814.0
