Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP
2023,2DREAM INC,0,1,0,0,54,1173.0,CA,FREMONT,94538.0
2023,2GO PRODUCTS LLC,0,0,1,0,45,2270.0,CA,SAN DIEGO,92122.0
2023,2K GAMES INC,0,0,0,1,51,1726.0,CA,NOVATO,94949.0
2023,2K GAMES INC,0,0,1,0,51,1726.0,CA,SAN MATEO,94403.0
2023,2M SOLUTIONS INC,1,0,0,0,56,6900.0,TX,GRAND PRAIRIE,75050.0
2023,2SEVENTY BIO INC,0,0,1,0,32,8454.0,MA,CAMBRIDGE,2142.0
2023,2SEVENTY BIO INC,0,0,2,0,54,8454.0,MA,CAMBRIDGE,2142.0
2023,2U INC,0,0,2,0,61,5939.0,MD,LANHAM,20706.0
2023,3 FLAGS DIRY LLC,0,0,1,0,11,8514.0,OH,FOREST,45843.0
2023,3-GIS LLC,1,0,1,0,54,965.0,AL,DECATUR,35601.0
2023,300 ENGINEERING GROUP PA,0,0,1,0,54,2529.0,FL,MIAMI,33134.0
2023,309 CENTRAL LLC,1,0,0,0,44,9463.0,NY,ALBANY,12206.0
2023,314E CORPORATION,1,0,1,0,54,2992.0,CA,PLEASANTON,94566.0
2023,317 LABS INC DBA EMOTIVE,0,0,1,0,54,1122.0,CA,WEST HOLLYWOOD,90069.0
2023,32HEALTH INC,0,0,1,0,52,8261.0,MA,CHESTNUT HILL,2467.0
2023,340B TECHNOLOGIES INC,0,0,1,0,54,516.0,NJ,MOUNT LAUREL,8054.0
2023,365 RETAIL MARKETS LLC,0,0,1,0,51,7511.0,MI,TROY,48084.0
2023,37SIGNALS LLC,0,0,1,0,54,4126.0,IL,CHICAGO,60612.0
2023,3A SOFT INC,0,0,3,0,54,7296.0,NJ,PISCATAWAY,8854.0
2023,3AMIGOSIT LLC,14,1,0,0,54,4552.0,OH,COLUMBUS,43235.0
2023,3ARB CAPITAL LLC,0,0,1,0,52,7785.0,NJ,JERSEY CITY,7306.0
2023,3B STAFFING LLC,1,0,2,0,54,8045.0,NJ,ISELIN,8830.0
2023,3B STAFFING LLC,0,0,1,0,54,8045.0,NJ,NEWARK,7102.0
2023,3BEES TECHNOLOGIES INC,0,15,0,0,54,9920.0,TX,IRVING,75039.0
2023,3C DRILLING LLC,0,0,1,0,23,7722.0,PA,QUAKERTOWN,18951.0
2023,3C ENVIRONMENTAL SOLUTIONS INC,0,0,2,0,42,7450.0,TX,CARROLLTON,75006.0
2023,3CORE SYSTEMS INC,0,0,6,0,54,1170.0,TX,AUSTIN,78758.0
2023,3D ARRAY TECHNOLOGY,1,0,0,0,54,7589.0,CT,STORRS MANSFIELD,6269.0
2023,3D SYSTEMS INC,0,0,2,0,33,8939.0,SC,ROCK HILL,29730.0
2023,3D TECHNOLOGIES LLC,0,1,1,0,54,3952.0,NE,MC COOK,69001.0
2023,3DI INC DBA 3DI SYSTEMS,0,0,3,0,54,7719.0,CA,BREA,92821.0
2023,3DN SOLUTIONS LLC,1,0,0,0,54,5885.0,MI,TROY,48098.0
2023,3E COMPANY ENVIRONMENTAL ECOLOGICAL AND ENGINEERING DBA 3E,1,0,1,0,54,1631.0,CA,CARLSBAD,92010.0
2023,3E CONSULTING INC,0,0,2,0,54,1599.0,FL,MIAMI,33180.0
2023,3EDGEUSA GROUP LLC,1,0,1,0,54,4749.0,NJ,PISCATAWAY,8854.0
2023,3I INFOTECH INC,46,3,28,3,54,3452.0,NJ,EDISON,8837.0
2023,3I PRODUCTS INC,0,0,1,0,31,2622.0,SC,LANCASTER,29720.0
2023,3ITEK LLC,0,0,1,0,54,3782.0,NC,CHARLOTTE,28262.0
2023,3K TECHNOLOGIES LLC,10,0,5,0,54,4148.0,CA,MILPITAS,95035.0
2023,3K TECHNOLOGIES LLC,0,0,1,0,54,4148.0,CA,MILPITAS,95035.0
2023,3M COMPANY,0,0,1,0,33,7775.0,,,
2023,3M COMPANY,1,0,3,0,33,7775.0,MN,SAINT PAUL,55144.0
2023,3M COMPANY,0,0,1,0,33,7775.0,MN,ST PAUL,55144.0
